index,author_name,review_date,reviewer_ratings,review_body
44,Kyle S,"August 23, 2018",1, App says 0.5 cigarettes or 11pm2.5 from weather station 1km away when actual it is 173pm2.5.... from smoke. Give me a break.
45,Maggie Anne,"August 15, 2018",2," ""Distance to air quality station: 353km."" Not super relevant, but thanks 
anyway."
46,Carrie,"August 25, 2018",1," Stupid app. Atmospheric particulate matter does not equal cigarettes, so to say any amount of pollution equals an amount of cigarettes us false..."
47,A Google user,"August 25, 2018",2, App can't search for or load other cities. Is this thing even under active development??
48,Christi Jackson,"August 20, 2018",1," Urban and industrial areas rated cleaner than rural areas with 1% of the 
population. (2.9m vs 25k)."
49,Jacob Ward,"August 16, 2018",5," Works great, good information to know about air quality."
50,Erin Ellingwood,"July 12, 2018",5," Ingenious way to drive home just how dangerous air pollution is to human 
health! Love that I can easily share today's ratings with one tap. Sure 
there aren't a lot of extra whiz-bang features, but the app is still in the 
beginning stages & I'm sure the developers have more things planned. Right 
...Full ReviewIngenious way to drive home just how dangerous air pollution is to human 
health! Love that I can easily share today's ratings with one tap. Sure 
there aren't a lot of extra whiz-bang features, but the app is still in the 
beginning stages & I'm sure the developers have more things planned. Right 
now it does exactly what it says on the tin & honestly, that's all I want. 
Big props to the team who created this app & shared with the world!"
51,James Phieffer,"July 21, 2018",3," Dishonest, at times. It shows air quality ratings at times based on 
monitoring stations nowhere near there. For example, when I searched for 
Plevna, a tiny village in eastern Ontario's cottage country, it gave a 
number based on monitoring 90 km away, which could be in downtown Kingston. 
It shows...Full ReviewDishonest, at times. It shows air quality ratings at times based on 
monitoring stations nowhere near there. For example, when I searched for 
Plevna, a tiny village in eastern Ontario's cottage country, it gave a 
number based on monitoring 90 km away, which could be in downtown Kingston. 
It shows multiple sites in Toronto, but all have the same rating - I have a 
hard time believing that the air quality at the bus terminal is the same as 
that on Toronto Island, in Lake Ontario. If there's no data for an area, be 
upfront about it. Show where the air quality information is coming from. 
That would make this app far more useful."
52,Maxime Balzeau,"May 6, 2018",4," Nice service but why isn't it just a website? The last thing I need on my 
phone is yet another single use app. This isn't 2008. Apps aren't cool."
53,Gary Davies,"July 18, 2018",4," A great way to put air pollution into context. Very fast finding local air 
quality monitors if GPS is turned off & also gives you the distance to the 
nearest monitor. A simple, well thought out app 😀"
54,Luis González,"May 11, 2018",4," Errors fixed and you can check other cities easily. Although I could not 
set it back to get my exact location..."
