app_name,category,reviewer_ratings,review_body
American Cancer Society FUNdraising,Lifestyle,5, user-friendly no way you can make a mistake I love this app
American Cancer Society FUNdraising,Lifestyle,5, very easy to use
American Cancer Society FUNdraising,Lifestyle,5, All donation can be noticed
American Cancer Society FUNdraising,Lifestyle,5, easy & fast
American Cancer Society FUNdraising,Lifestyle,5, Easy to check donations.
American Cancer Society FUNdraising,Lifestyle,5, makes fundraising easy
American Cancer Society FUNdraising,Lifestyle,5, Fundraisers for a good cause are always a great way to make money for donations and get the word out about organizations
American Cancer Society FUNdraising,Lifestyle,5, Great when you are accepting donations on the go
American Cancer Society FUNdraising,Lifestyle,5, We are new to cancer so we are learning as we go.. And if someone knows how i can change the name to Molly's Ninjas i will appreciate it thank you kindly and let us all fight the battle together
American Cancer Society FUNdraising,Lifestyle,5, Great way to fundraise on the go. Great cause it's goes to great resources
American Cancer Society FUNdraising,Lifestyle,5, Easy to use.
American Cancer Society FUNdraising,Lifestyle,5, great for updates of monies raised to find a CURE!!
American Cancer Society FUNdraising,Lifestyle,5, I love relay for life and help fellow relay for life partiant
American Cancer Society FUNdraising,Lifestyle,1, It's a waste of data
American Cancer Society FUNdraising,Lifestyle,5, so east to use even for a computer illiterate.
American Cancer Society FUNdraising,Lifestyle,5, easy to use
American Cancer Society FUNdraising,Lifestyle,5, Last Season I met my Goal in Fund raising.
American Cancer Society FUNdraising,Lifestyle,4, good little app
American Cancer Society FUNdraising,Lifestyle,4, hard to figure out
American Cancer Society FUNdraising,Lifestyle,5, it help us save lives
American Cancer Society FUNdraising,Lifestyle,5, I luv it...
American Cancer Society FUNdraising,Lifestyle,5, Love supporting this cause
American Cancer Society FUNdraising,Lifestyle,4, easy to use
American Cancer Society FUNdraising,Lifestyle,5, i love this app
American Cancer Society FUNdraising,Lifestyle,4, It was fun
American Cancer Society FUNdraising,Lifestyle,5," Easy as 1, 2, 3"
American Cancer Society FUNdraising,Lifestyle,5, Easy to use
American Cancer Society FUNdraising,Lifestyle,5, Easy to use
American Cancer Society FUNdraising,Lifestyle,5, love this app
American Cancer Society FUNdraising,Lifestyle,1, Will not open
American Cancer Society FUNdraising,Lifestyle,5, Good.
American Cancer Society FUNdraising,Lifestyle,5, I love it
American Cancer Society FUNdraising,Lifestyle,5, great
American Cancer Society FUNdraising,Lifestyle,5, Great!
American Cancer Society FUNdraising,Lifestyle,5, Awesome
American Cancer Society FUNdraising,Lifestyle,5, Awesome
American Cancer Society FUNdraising,Lifestyle,5, Excellent
American Cancer Society FUNdraising,Lifestyle,5, Great app
American Cancer Society FUNdraising,Lifestyle,5, Great
American Cancer Society FUNdraising,Lifestyle,5, Easy access
American Cancer Society FUNdraising,Lifestyle,5, Aweome App
American Cancer Society FUNdraising,Lifestyle,4, Works great
American Cancer Society FUNdraising,Lifestyle,5, Nice to always look at how much your team raised
American Cancer Society FUNdraising,Lifestyle,5, works great!!
American Cancer Society FUNdraising,Lifestyle,5, great fast
American Cancer Society FUNdraising,Lifestyle,5, awesome
American Cancer Society FUNdraising,Lifestyle,5, IT'S good
American Cancer Society FUNdraising,Lifestyle,5, great
American Cancer Society FUNdraising,Lifestyle,4, good
American Cancer Society FUNdraising,Lifestyle,5, great
American Cancer Society FUNdraising,Lifestyle,5, phenomenal
American Cancer Society FUNdraising,Lifestyle,5," The improvements made to this app are great. It's nice to accept credit cards, and also to be able to accept different types of payments on behalf of someone else who is fundraising, also."
American Cancer Society FUNdraising,Lifestyle,5, All Good!
American Cancer Society FUNdraising,Lifestyle,5, Love it!
American Cancer Society FUNdraising,Lifestyle,5, great app
American Cancer Society FUNdraising,Lifestyle,5, awesome app
American Cancer Society FUNdraising,Lifestyle,5, great.
American Cancer Society FUNdraising,Lifestyle,5, great
American Cancer Society FUNdraising,Lifestyle,4, exceptional
American Cancer Society FUNdraising,Lifestyle,5, love it.
American Cancer Society FUNdraising,Lifestyle,4, Great app.
American Cancer Society FUNdraising,Lifestyle,4, Tech friendly
American Cancer Society FUNdraising,Lifestyle,5, Easy!
American Cancer Society FUNdraising,Lifestyle,3," I love app except since the last update, you have to put in your ID and password every time you try to open the app up. Which if you're running a booth of any sort and taking donations it's really not helpful because you have to make people wait for you to log back in every single time."
American Cancer Society FUNdraising,Lifestyle,2, Login issues as others have stated.
American Cancer Society FUNdraising,Lifestyle,2, Can't log in
